101,Introduction to City Planning,3 hours.,"Provides an introduction to urban and regional planning by examining the history of American urbanization, the evolution of American planning thought and practice, and contemporary issues and planning approaches.",,UP,Urban and Regional Planning
495,Special Advanced Topics,3 OR 4 hours.,"Offers interdisciplinary topics in the humanities; topics vary, but normally relate to the interdisciplinary areas of study within the humanities major or to the special humanities facilities (e.g., the Language Learning Laboratory). 3 undergraduate hours. 4 graduate hours. May be repeated as topics vary to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Will vary according to topic. See Class Schedule.",,HUM,Humanities Courses
595,Intro to Classical Studies,4 hours.,Introductory survey for graduate students in classics; prepares students for work at the graduate level and surveys basic bibliography and methodology. Same as LAT 595. Prerequisite: Graduate standing in classics.,,GRK,Greek
125,Freshmen Scholars Seminar,1 hours.,Designed for James Scholars for Applied Health Sciences who are in their first year of college to introduce them to research. Students will learn strategies to apply classroom material to community and society. Includes visits from faculty and staff from across campus and within the College who will expose students to an array of contexts and approaches for research. This course is a James Scholar course for freshmen only.,James Scholars course.,AHS,Applied Health Sciences Courses
301,Industrial Design III,4 hours.,"Design of user centered products for mass production; experience in the iterative problem solving processes and methods. Addresses practical constraints such as sustainability, environmental factors/ergonomics, manufacturing and materials, social and political and economic. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 202.",,ARTD,Art--Design
241,Fundamentals of Real Estate,3 hours.,"A survey of real estate finance, appraisal, investment, law, brokerage, management, development and economics. Special attention is given to the analysis of aggregate real estate and mortgage markets, to the individual transactions within these markets, and to the legal and institutional factors which affect these markets. Prerequisite: ECON 102.",,FIN,Finance
322,Dostoevsky,3 hours.,Introduction to the major works of Fyodor Mikhailovich Dostoevsky. No Russian required. Same as CWL 324 and ENGL 322. May be repeated up to 6 credit hours in separate terms. Prerequisite: At least one other college literature course or consent of instructor.,,RUSS,Russian
330,Comparative Labor Relations,3 hours.,"Designed as an overview of comparative labor movements and labor relation systems. Develops a framework for understanding union formation and the development of industrial relations system in a variety of countries around the world. An emphasis will be placed on each country's interaction between unions and political organizations, national labor policies, the machinery for the resolution of workplace problems, the level of shop floor disturbances, bargaining coverage of employees, and the issues of workers' control. Also addresses how globalization has transformed the capacity of any nation's labor relations' system to respond to economic challenge and workplace conflicts.  Examines the possibility of developing transnational union.",,LER,Labor and Employment Relations
498,Special Topics Senior,3 hours.,"Interdisciplinary seminar and tutorial in selected topics related to one of the options in the humanities major. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Senior standing and consent of humanities adviser (Tutorial students must submit an approved Learning Agreement to 2002 Lincoln Hall, 702 S. Wright Street, Urbana, not later than the second week of the semester or the first week of the summer session).",,HUM,Humanities Courses
599,Thesis Research,0 TO 16 hours.,Guidance in writing theses for advanced degrees. Approved for S/U grading only. May be repeated.,,GRK,Greek
120,Intro to US Armed Forces,3 hours.,"Surveys the four major branches of the United States military (Army, Navy, Marines, and Air Force) and their historical development into �Professions of Arms.� Topics include historical surveys of each branch highlighting key historical developments, organization, structure and customs. Other topics include a discussion of the United States National Command Authority. United States joint military operations and structure, the relationship of the United States Military with its civilian constituency and a survey of emerging Department of Defense issues. Same as AFAS 120 and NS 120.",Humanities - Hist & Phil course.,MILS,Military Science
